Date,Country,Month,Year,Temp
1901-03-01,Singapore,3,1901,26.217
1901-03-01,Slovakia,3,1901,1.921
1901-03-01,South Africa,3,1901,19.540000000000006
1901-03-01,South Korea,3,1901,4.372
1901-03-01,Spain,3,1901,8.112
1901-03-01,Switzerland,3,1901,0.9330000000000004
1901-03-01,Syria,3,1901,15.364999999999998
1901-03-01,Turkey,3,1901,9.044
1901-03-01,Turkmenistan,3,1901,10.582
1901-03-01,Ukraine,3,1901,1.915
1901-03-01,United Arab Emirates,3,1901,24.177
1901-03-01,United Kingdom,3,1901,4.143
1901-03-01,Venezuela,3,1901,25.788
1901-03-01,Vietnam,3,1901,20.66
1901-04-01,Argentina,4,1901,13.085
1901-04-01,Austria,4,1901,6.207999999999999
1901-04-01,Bahrain,4,1901,26.38000000000001
1901-04-01,Belarus,4,1901,5.861000000000001
1901-04-01,Belgium,4,1901,9.368
1901-04-01,Bulgaria,4,1901,10.091
1901-04-01,Czech Republic,4,1901,7.582000000000001
1901-04-01,France,4,1901,12.484000000000002
1901-04-01,Hong Kong,4,1901,22.42
1901-04-01,Hungary,4,1901,10.005
1901-04-01,Iceland,4,1901,-2.204
1901-04-01,India,4,1901,27.474
1901-04-01,Ireland,4,1901,7.947000000000001
1901-04-01,Italy,4,1901,11.245
1901-04-01,Japan,4,1901,10.688
1901-04-01,Kuwait,4,1901,26.358
1901-04-01,Latvia,4,1901,4.6240000000000006
1901-04-01,Macedonia,4,1901,10.361
1901-04-01,Philippines,4,1901,27.354000000000006
1901-04-01,Poland,4,1901,7.539
1901-04-01,Portugal,4,1901,13.807
1901-04-01,Qatar,4,1901,27.113000000000003
1901-04-01,Romania,4,1901,8.642000000000001
1901-04-01,Saudi Arabia,4,1901,26.776
1901-04-01,Singapore,4,1901,26.768
1901-04-01,Slovakia,4,1901,7.423999999999999
1901-04-01,South Africa,4,1901,17.98
1901-04-01,South Korea,4,1901,11.390999999999998
1901-04-01,Spain,4,1901,12.416
1901-04-01,Switzerland,4,1901,6.638999999999999
1901-04-01,Syria,4,1901,18.744
1901-04-01,Turkey,4,1901,12.050999999999998
1901-04-01,Turkmenistan,4,1901,16.45
1901-04-01,Ukraine,4,1901,8.17
1901-04-01,United Arab Emirates,4,1901,28.556
1901-04-01,United Kingdom,4,1901,7.495
1901-04-01,Venezuela,4,1901,25.897
1901-04-01,Vietnam,4,1901,24.627
1901-05-01,Argentina,5,1901,11.19
1901-05-01,Austria,5,1901,11.091
1901-05-01,Bahrain,5,1901,30.907
1901-05-01,Belarus,5,1901,12.999
1901-05-01,Belgium,5,1901,13.047
1901-05-01,Bulgaria,5,1901,14.446
1901-05-01,Czech Republic,5,1901,13.161
1901-05-01,France,5,1901,15.026
1901-05-01,Hong Kong,5,1901,25.375
1901-05-01,Hungary,5,1901,15.464
1901-05-01,Iceland,5,1901,4.231
1901-05-01,India,5,1901,29.787
